	Datum	Flaeche	Lokalitaet	Plot	Jdatum	TDRHandroh	TDRHand	DDSUMLuft	WG.residuen	WG.mod	WG.min10
20	29.03.2008	2	2_Facinas	2A	39536	834	0.37	23.3	-18.33	0.29	0.29
21	29.03.2008	2	2_Facinas	2B	39536	859	0.38	23.3	20.57	0.29	0.29
23	01.04.2008	2	2_Facinas	2C	39539	615	0.25	41.1	-9.07	0.28	0.28
27	09.04.2008	1	1_Facinas	1A	39547	887	0.4	91.6	32.57	0.31	0.28
28	09.04.2008	1	1_Facinas	1B	39547	731	0.31	91.6	-123.43	0.3	0.27
29	10.04.2008	1	1_Facinas	1C	39548	867	0.39	98.1	16.83	0.34	0.34
30	10.04.2008	1	1_Facinas	1D	39548	823	0.36	98.1	-27.17	0.29	0.29
32	14.04.2008	2	2_Facinas	2A	39552	862	0.39	123.2	6.23	0.29	0.29
33	14.04.2008	2	2_Facinas	2B	39552	842	0.37	123.2	14.03	0.29	0.29
34	15.04.2008	2	2_Facinas	2C	39553	806	0.35	129.7	-35.83	0.28	0.28
39	20.04.2008	1	1_Facinas	1A	39558	960	0.46	154.4	12.5	0.35	0.41
43	22.04.2008	3	3_CerroQuemado	3D	39560	886	0.4	168.1	13	0.45	0.40
45	24.04.2008	2	2_Facinas	2B	39562	785	0.34	182.9	17.67	0.29	0.29
46	25.04.2008	2	2_Facinas	2C	39563	837	0.37	191.8	-64.53	0.28	0.28
47	25.04.2008	2	2_Facinas	2D	39563	794	0.34	191.8	-274.13	0.28	0.28
48	26.04.2008	3	3_CerroQuemado	3A	39564	908	0.42	206.1	103.77	0.39	0.35
49	26.04.2008	3	3_CerroQuemado	3B	39564	901	0.41	206.1	96.77	0.39	0.35
50	28.04.2008	3	3_CerroQuemado	3C	39566	834	0.37	225	61.3	0.27	0.31
51	28.04.2008	3	3_CerroQuemado	3D	39566	878	0.4	225	105.3	0.36	0.40
52	29.04.2008	1	1_Facinas	1A	39567	596	0.24	225.2	-169.97	0.26	0.24
53	29.04.2008	1	1_Facinas	1B	39567	780	0.33	225.2	14.03	0.25	0.33
54	30.04.2008	1	1_Facinas	1C	39568	797	0.34	231.2	47.5	0.29	0.34
55	30.04.2008	1	1_Facinas	1D	39568	735	0.31	231.2	-14.5	0.25	0.31
56	03.05.2008	2	2_Facinas	2A	39571	682	0.28	262.6	33.23	0.25	0.25
57	04.05.2008	2	2_Facinas	2B	39572	571	0.23	271.7	40.23	0.24	0.24
58	05.05.2008	2	2_Facinas	2C	39573	417	0.16	282.2	-68.77	0.24	0.24
59	05.05.2008	2	2_Facinas	2D	39573	495	0.2	282.2	-424.67	0.24	0.24
60	06.05.2008	3	3_CerroQuemado	3B	39574	837	0.37	291	160	0.31	0.37
61	08.05.2008	3	3_CerroQuemado	3C	39576	647	0.26	309.5	12.97	0.22	0.26
62	08.05.2008	3	3_CerroQuemado	3D	39576	801	0.35	309.5	166.97	0.28	0.35
63	09.05.2008	1	1_Facinas	1A	39577	218	0.07	300.8	-416.57	0.2	0.07
64	09.05.2008	1	1_Facinas	1B	39577	259	0.09	300.8	-375.57	0.19	0.09
65	10.05.2008	1	1_Facinas	1C	39578	385	0.15	305.9	-224.93	0.21	0.15
66	10.05.2008	1	1_Facinas	1D	39578	311	0.12	305.9	-298.93	0.19	0.12
67	13.05.2008	2	2_Facinas	2A	39581	315	0.12	349.8	-1.83	0.17	0.17
68	13.05.2008	2	2_Facinas	2B	39581	379	0.15	349.8	69.57	0.17	0.17
69	14.05.2008	2	2_Facinas	2C	39582	375	0.14	357.3	-68.07	0.15	0.15
70	14.05.2008	2	2_Facinas	2D	39582	275	0.1	357.3	-332.97	0.15	0.15
71	15.05.2008	3	3_CerroQuemado	3A	39583	773	0.33	358.9	306.73	0.2	0.33
72	15.05.2008	3	3_CerroQuemado	3B	39583	682	0.28	358.9	215.73	0.2	0.28
73	17.05.2008	3	3_CerroQuemado	3C	39585	344	0.13	374	-74.03	0.13	0.13
74	17.05.2008	3	3_CerroQuemado	3D	39585	602	0.24	374	183.97	0.16	0.24
75	18.05.2008	1	1_Facinas	1A	39586	177	0.05	355.9	-174.13	0.08	0.05
76	18.05.2008	1	1_Facinas	1B	39586	302	0.11	355.9	-151.13	0.09	0.09
77	20.05.2008	1	1_Facinas	1C	39588	405	0.16	369.9	-117.57	0.18	0.15
78	20.05.2008	1	1_Facinas	1D	39588	385	0.15	369.9	-137.57	0.16	0.12
79	23.05.2008	2	2_Facinas	2A	39591	244	0.09	429.1	18.7	0.1	0.10
81	23.05.2008	2	2_Facinas	2B	39591	294	0.11	429.1	21.3	0.1	0.10
