	Isoehist	Ophilusi	Ranupalu	Illevert	Rumebuce	Tubegutt	Fumaeric	Ericscop	Astelinu	Anagcras	Anagarve	Crastill	Sangmino	Aphamicr	Lotuparv	Ornicomp	Ornipinn	Scorverm	Trifcamp	Trifcher	Trifangu	Genitrid	Lythhyso	Myrtcomm	Euphexig	Linubien	Radilino	Cicefili	Exacpusi	Centmari	Echiplan	Stacarve	Lavastoe	Plancoro	Planserr	Planbell	Pinglusi	Solelaur	Galipari	Bellannu	Bellsylv	Puliodor	Logfgall	Evaxpygm	Chammixt	Hyporadi	Tolpbarb	Junctena	Junchybr	Junccapi	Juncbulb	Scirpseu	Eleomult	Careflac	Vulpmyur	Brizmaxi	Brizmino	Gaudfrag	Airacary	Gastvent	Anthovat	Bracdist	Asphaest	Urgimari	Romubulb	Seraparv	Allirose	Ornibrot	Linutenu	Scabatro	Scanpect	Trifglom	Eryndila
20	0	0	0	2	0	5	0	0	0	0	60	0	0	0	2	0	2	8	7	0	0	0	0	0	7	4	71	1	0	0	0	0	0	0	0	0	0	20	13	1	0	0	3	26	0	5	21	0	3	2	0	9	0	12	0	0	0	0	34	0	22	0	2	0	12	71	0	0	0	0	0	0	0
21	31	0	1	5	0	2	0	0	0	0	60	0	0	0	2	1	0	0	21	0	0	0	0	0	12	2	160	6	0	0	0	0	0	0	0	64	0	21	3	0	1	0	14	32	0	2	20	0	36	3	0	7	0	0	0	16	0	0	183	0	0	0	1	0	21	0	3	9	0	0	0	0	0
23	14	0	1	4	0	41	0	19	0	1	41	0	0	2	1	0	3	0	7	0	0	0	1	1	27	4	64	14	0	0	0	0	0	2	0	1	0	20	12	0	2	0	32	69	2	0	36	0	6	7	0	36	0	3	0	0	15	0	39	0	0	0	1	0	25	0	2	1	0	0	0	0	0
27	5	0	11	0	0	32	1	0	0	0	4	0	0	0	5	0	6	2	52	0	1	0	6	0	32	2	9	6	0	1	0	0	1	0	5	52	0	2	2	0	0	0	54	18	2	11	22	0	24	3	0	0	0	0	25	15	1	0	15	0	0	0	2	0	14	0	0	2	0	0	0	0	0
28	47	13	33	0	0	5	0	0	0	0	16	0	0	0	0	0	0	0	7	0	0	0	2	0	24	4	71	50	0	0	0	0	0	0	0	1	0	0	0	0	0	3	6	36	0	12	33	0	7	22	0	21	0	0	0	0	0	0	10	4	1	0	1	0	10	0	0	7	0	0	0	0	0
29	14	0	90	0	0	0	0	0	0	0	64	0	0	1	21	0	13	0	6	0	0	0	5	0	33	2	22	6	0	3	0	3	0	3	0	2	0	2	2	0	0	0	35	25	26	18	74	0	14	16	0	14	0	0	4	0	0	0	44	0	4	0	0	0	21	1	0	6	0	0	1	0	0
30	21	10	20	0	0	10	0	0	0	0	0	0	1	0	13	0	11	1	20	0	6	0	15	0	38	2	5	14	0	0	0	6	0	3	0	48	0	7	3	0	0	4	54	28	0	9	25	0	9	5	0	10	0	4	35	0	0	0	10	0	19	0	0	0	16	0	0	10	0	0	0	0	10
32	0	0	0	0	0	10	0	0	0	0	61	0	0	0	2	0	5	13	7	0	0	0	0	0	0	2	73	3	0	0	0	0	0	0	0	0	0	32	0	0	1	0	7	21	0	4	27	1	5	9	0	23	0	9	0	0	0	0	61	0	0	0	2	0	0	97	0	0	0	0	0	0	0
33	19	0	1	0	0	1	0	0	0	0	56	0	0	0	1	1	0	0	15	0	1	0	0	0	12	1	160	2	0	7	0	0	0	0	0	60	0	18	4	0	1	0	19	44	0	1	20	0	38	11	0	25	0	0	0	7	0	0	54	0	0	0	1	0	21	0	3	11	0	0	0	0	0
34	5	0	1	0	0	22	0	0	0	0	55	0	0	2	2	0	2	0	4	0	0	0	2	0	22	3	126	17	0	6	0	0	0	2	0	2	0	30	20	0	4	0	27	82	3	2	25	2	20	29	0	48	0	2	1	13	0	0	61	0	0	0	2	0	16	0	2	1	0	0	0	0	0
39	0	0	6	0	1	28	1	0	0	0	2	0	0	0	29	1	8	0	24	3	1	0	5	0	34	2	5	4	1	0	0	0	1	0	4	45	0	4	1	0	0	0	47	16	0	8	29	0	7	1	0	0	0	0	26	7	1	0	57	0	0	0	2	0	13	0	0	3	0	0	1	0	0
43	1	0	0	11	0	0	0	55	0	8	7	0	1	2	1	0	3	0	0	0	0	0	12	0	5	1	19	16	10	1	0	0	0	41	0	0	18	26	4	0	0	0	12	0	0	4	64	1	10	15	0	130	5	0	0	0	1	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	24	0	1	0	1	3	0	0	0	0	61	0	0	0	1	1	0	0	11	0	1	0	2	0	8	1	157	15	8	3	0	0	0	0	0	95	0	0	3	0	0	0	18	39	0	4	24	4	51	10	0	23	0	0	1	7	1	0	99	0	1	0	1	0	29	0	6	10	0	0	0	0	0
46	4	0	1	0	0	21	0	0	0	0	58	0	0	1	1	0	1	0	9	1	0	0	5	0	20	3	154	22	11	9	0	0	0	2	0	2	0	2	15	0	0	0	30	51	3	3	22	5	25	37	0	37	0	2	0	0	2	0	61	0	1	0	2	0	26	0	2	1	0	0	0	0	0
47	1	0	2	0	2	22	0	0	0	0	108	0	0	0	4	0	2	1	11	0	0	0	7	0	2	2	58	32	17	2	0	7	0	1	0	38	0	25	1	0	0	0	0	19	0	6	19	0	23	28	0	7	0	0	3	13	0	0	124	0	1	0	2	0	0	7	0	2	0	0	0	0	0
48	4	0	0	34	4	0	0	0	0	91	15	0	0	5	0	0	2	0	0	0	0	0	1	0	1	0	37	12	128	1	0	0	0	48	0	0	0	45	0	0	0	0	1	0	0	3	22	0	14	5	0	138	0	0	1	0	2	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	4	0	0	1	1	0	0	0	0	105	8	0	6	0	7	0	1	0	1	0	0	0	9	0	4	0	66	27	15	3	0	0	0	48	0	0	2	30	0	0	1	0	8	0	1	2	36	0	16	10	0	50	11	1	0	0	1	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	0	0	0	0	0	1	0	0	6	0	3	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	97	45	24	0	0	0	0	35	0	45	0	69	13	0	1	0	32	1	0	11	39	0	38	12	0	43	0	0	15	0	2	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	6	0	1	8	0	0	0	0	0	7	9	0	1	2	1	0	2	0	0	0	0	0	14	0	11	1	18	23	10	1	0	0	0	50	0	0	18	44	3	0	0	0	13	0	0	7	73	5	9	21	0	160	7	0	0	0	3	0	144	0	0	0	0	0	0	0	0	0	0	0	0	2	0
52	1	0	8	0	1	47	0	0	0	0	1	0	0	0	44	1	4	0	31	3	1	0	0	0	35	3	2	0	0	2	0	1	1	0	5	60	0	2	1	0	0	0	32	27	0	15	18	0	0	0	0	0	0	0	0	7	0	0	57	0	0	0	3	0	28	0	0	4	0	0	0	0	0
53	50	8	57	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	1	0	7	0	33	7	73	82	14	2	0	0	0	0	0	0	0	0	0	0	0	4	20	22	0	18	35	3	15	46	0	0	0	0	0	0	4	0	36	0	0	0	3	0	29	0	0	10	0	0	0	0	0
